鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
麻豆區,房地(土地+建物),臺南市麻豆區麻口里麻豆口31~60號,107.34,住,,,1070722,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070420,160.32,5,1,3,有,有,7500000,46781,,0.0,0,,RPQNMLSJIINFFFD28CA
西港區,土地,劉厝段1831~1860地號,2093.0,,特定農業區,農牧用地,1070825,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3880000,1854,,0.0,0,,RPWNMLMJIINFFGD38CA
西港區,土地,大塭寮段2521~2550地號,2765.0,,特定農業區,農牧用地,1070904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5530000,2000,,0.0,0,,RPPNMLNJIINFFGD77CA
佳里區,房地(土地+建物),臺南市佳里區六安里21鄰林園街174巷18弄1~30號,155.49,住,,,1070918,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0650105,71.78,3,2,1,有,無,3860000,53775,,0.0,0,,RPRNMLNJIINFFGD97CA
將軍區,土地,將軍段2461~2490地號,2625.0,,特定農業區,農牧用地,1070816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,1714,,0.0,0,交易包含地上未保存登記建物(自用農舍)，面積508.2平方公尺。,RPWNMLNJIINFFGD48CA
北門區,土地,渡子頭段61~90地號,5558.0,,一般農業區,農牧用地,1070905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2501100,450,,0.0,0,,RPXNMLNJIINFFGD58CA
佳里區,土地,禮化段931~960地號,3338.0,,特定農業區,農牧用地,1070817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4610000,1381,,0.0,0,,RPPNMLQJIINFFGD08CA
學甲區,房地(土地+建物),臺南市學甲區西明里宮西路1~30號,692.13,住,,,1070721,土地1建物3車位0,全,一層,透天厝,工業用,加強磚造,0461031,432.41,3,2,3,有,無,11880000,27474,,0.0,0,,RPTNMLQKIINFFGD58CA
善化區,土地,曾文段2761~2790地號,2566.0,農,,,1070829,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14300000,5573,,0.0,0,,RPVNMLLJIINFFHD28CA
安定區,房地(土地+建物),臺南市安定區安定151~180號,76.54,住,,,1070827,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740912,97.29,3,2,2,有,無,3200000,32891,,0.0,0,,RPQPMLLJIINFFHD97CA
