鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
國姓鄉,房地(土地+建物),南投縣國姓鄉國姓路31~60號,76.0,,鄉村區,乙種建築用地,1070912,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0860205,115.25,4,2,2,有,無,5000000,43384,,0.0,0,,RPTNMLLKIINFFCM58CA
草屯鎮,房地(土地+建物),南投縣草屯鎮芬草路二段241巷121~150號,77.0,,特定農業區,甲種建築用地,1070831,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0871106,159.96,4,2,3,有,無,7400000,46262,,0.0,0,,RPTNMLTJIINFFBM56CA
草屯鎮,房地(土地+建物),南投縣草屯鎮芬草路二段477巷1~30號,76.25,,鄉村區,乙種建築用地,1070907,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0831216,166.99,5,2,3,有,無,6250000,37427,,0.0,0,不動產之共有人數為２人,RPRNMLSJIINFFBM88CA
南投市,土地,三塊厝段121~150地號,2183.97,住,,,1070830,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29348100,13438,,0.0,0,,RPROMLSJIINFFAM88CA
南投市,房地(土地+建物),南投縣南投市成功街31~60號,70.8,住,,,1070910,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0811013,137.5,3,2,3,有,無,4550000,33091,,0.0,0,,RPPNMLTJIINFFAM68CA
南投市,房地(土地+建物),南投縣南投市成功東路241~270號,86.48,住,,,1051030,土地1建物1車位0,一層，二層，三層，四層，見其他登記事項,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1070426,230.43,4,4,4,有,無,17100000,74209,,0.0,0,,RPPNMLNJJINFFAM18CA
南投市,房地(土地+建物),南投縣南投市成功東路246巷1~30號,81.05,住,,,1051106,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070426,215.59,4,3,4,有,無,13900000,64474,,0.0,0,,RPQNMLNJJINFFAM28CA
南投市,房地(土地+建物),南投縣南投市成功東路246巷1~30號,69.07,住,,,1060119,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070426,183.05,3,3,3,有,無,12000000,65556,,0.0,0,,RPRNMLNJJINFFAM38CA
南投市,房地(土地+建物),南投縣南投市成功東路246巷1~30號,69.67,住,,,1060429,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070426,182.67,3,3,3,有,無,9600000,52554,,0.0,0,,RPSNMLNJJINFFAM48CA
南投市,房地(土地+建物),南投縣南投市成功東路246巷1~30號,70.27,住,,,1051030,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070426,182.66,3,3,3,有,無,11800000,64601,,0.0,0,,RPTNMLNJJINFFAM58CA
