鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新竹市,房地(土地+建物),新竹市新竹市北新街91~120號,7.33,住,,,1070908,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0971230,43.099999999999994,2,1,1,有,有,3360000,77958,,0.0,0,,RPPOMLTJIINFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹市牛埔南路142巷33弄31~60號,28.12,住,,,1070803,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010821,149.5,3,2,2,有,有,7800000,52174,坡道平面,0.0,0,,RPQOMLTJIINFFAO09CA
新竹市,房地(土地+建物),新竹市新竹市明湖路775巷91~120號,313.94,其他,,,1070726,土地5建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1010820,236.52,3,3,3,有,有,18000000,76104,,0.0,0,,RPRQMLOJIINFFAO88CA
新竹市,土地,延壽段721~750地號,424.31,,山坡地保育區,農牧用地,1070925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1620000,3818,,0.0,0,,RPWOMLOJIINFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市明湖路1050巷301~330號,45.6,,山坡地保育區,丙種建築用地,1070810,土地2建物1車位1,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860715,123.77000000000001,3,2,2,有,有,3650000,29490,坡道平面,0.0,0,,RPOQMLOJIINFFAO58CA
新竹市,房地(土地+建物),新竹市新竹市凌雲街121~150號,47.59,住,,,1070731,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980331,183.49,3,2,2,有,有,9000000,49049,,0.0,0,,RPSSMLMJIINFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市東南街241~270號,89.0,住,,,1070901,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0661103,172.08,4,2,4,有,無,21500000,124942,,0.0,0,,RPQPMLNJIINFFAO58CA
新竹市,房地(土地+建物),新竹市新竹市光華二街151~180號,20.4,住,,,1070901,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780821,89.45,3,2,1,有,無,4000000,44718,,0.0,0,,RPRPMLNJIINFFAO68CA
新竹市,房地(土地+建物),新竹市新竹市建功一路59巷1~30號,28.66,住,,,1070902,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890930,140.57,3,2,2,有,有,9200000,65448,,0.0,0,,RPSPMLNJIINFFAO78CA
新竹市,土地,光復段451~480地號,168.0,工,,,1070911,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28500000,169643,,0.0,0,本案有未辦保存登記之建物,RPOPMLOJIINFFAO48CA
新竹市,房地(土地+建物),新竹市新竹市中華路三段31~60號,314.0,商,,,1070827,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,251.22,0,0,0,無,無,62000000,246796,,0.0,0,,RPUPMLSJIINFFAO86CA
新竹市,房地(土地+建物),新竹市新竹市四維路1~30號,3.8,商,,,1070901,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800730,41.58,1,1,1,有,有,1650000,39683,,0.0,0,,RPQPMLTJIINFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路181~210號,35.69,商,,,1070910,土地1建物1車位2,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971126,244.15000000000003,5,3,3,有,有,23380000,95757,坡道平面,0.0,0,,RPPPMLLKIINFFAO38CA
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路271~300號,40.8,住,,,1070822,土地1建物1車位3,三層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010710,325.16999999999996,3,2,2,有,有,20380000,77129,坡道平面,101.13,3100000,車位總價中無法拆分個別車位價格:車位優惠價,RPQNMLMKIINFFAO38CA
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路271~300號,35.86,住,,,1070521,土地1建物1車位2,二十三層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010710,269.61,3,2,2,有,有,15500000,61964,坡道平面,63.04,2700000,,RPSNMLMKIINFFAO58CA
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路271~300號,50.69,住,,,1070403,土地1建物1車位3,十二層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010710,382.37,4,2,3,有,有,19580000,59909,坡道平面,98.94,2600000,車位總價中無法拆分個別車位價格:車位優惠價,RPUNMLMKIINFFAO78CA
新竹市,房地(土地+建物),新竹市新竹市新香街188巷22弄1~30號,132.69,,山坡地保育區,丙種建築用地,1070731,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0910111,225.42,5,2,5,有,有,7650000,33937,,0.0,0,,RPSOMLNKIINFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹市中正路481~510號,37.86,住,,,1070828,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781107,281.3,4,2,2,有,有,11850000,42127,坡道平面,0.0,0,,RPTOMLNKIINFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市香北路225巷90弄1~30號,72.63,住,,,1070908,土地1建物1車位2,全,八層,透天厝,見其他登記事項,鋼筋混凝土造,0940301,248.31,3,2,3,有,有,11000000,44299,坡道平面,0.0,0,,RPWNMLOKIINFFAO56CA
新竹市,房地(土地+建物),新竹市新竹市閑谷一街1~30號,424.09,,山坡地保育區,丙種建築用地,1070707,土地8建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1000518,377.57,0,0,0,無,有,18350000,48600,,0.0,0,,RPOPMLPKIINFFAO68CA
新竹市,房地(土地+建物),新竹市新竹市閑谷街51巷61~90號,305.45,,山坡地保育區,丙種建築用地,1070602,土地7建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1010308,289.72,0,0,0,無,有,12930000,44629,,0.0,0,,RPPPMLPKIINFFAO78CA
新竹市,房地(土地+建物),新竹市新竹市閑谷街51巷31~60號,300.7,,山坡地保育區,丙種建築用地,1070804,土地7建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1010308,298.49,0,0,0,無,有,13750000,46065,,0.0,0,,RPQPMLPKIINFFAO88CA
新竹市,房地(土地+建物),新竹市新竹市東南街142巷1~30號,148.0,住,,,1070903,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,,177.45,6,2,2,有,無,9450000,53254,,0.0,0,原賣方之親友買回。,RPWOMLRKIINFFAO96CA
新竹市,房地(土地+建物),新竹市新竹市武陵路271巷57弄31~60號,21.65,其他,,,1070910,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0820112,102.55000000000001,3,2,2,有,有,4300000,41931,,0.0,0,,RPXOMLRKIINFFAO07CA
新竹市,房地(土地+建物)+車位,新竹市新竹市慈濟路211~240號,35.48,住,,,1070909,土地1建物1車位2,十一層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020915,300.23,4,2,3,有,有,22500000,74943,坡道平面,46.3,0,,RPTOMLMJJINFFAO78CA
新竹市,土地,新興段31~60地號,198.86,其他,,,1070913,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3648000,18345,,0.0,0,,RPRQMLNJIINFFAO88DA
新竹市,建物,新竹市新竹市新竹市中央路61~90號,0.0,,,,1051224,土地0建物1車位0,一層，二層，三層，四層，騎樓,四層,店面(店鋪),住商用,加強磚造,0450301,233.42,4,2,4,有,無,8000000,34273,,0.0,0,,RPQNMLSJIINFFAO98DA
新竹市,土地,東山段一小段181~210地號,15.09,其他,,,1070926,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320000,21206,,0.0,0,,RPUNMLPJIINFFAO09DA
新竹市,房地(土地+建物)+車位,新竹市新竹市科學園路107巷1~30號,14.66,住,,,1070826,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0891016,144.84,3,2,2,有,有,10080000,69594,坡道平面,26.47,0,,RPTNMLRKIINFFAO56CA
新竹市,土地,福林段1171~1200地號,3.0,,鄉村區,乙種建築用地,1070928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,130000,43333,,0.0,0,,RPVNMLRKIINFFAO76CA
新竹市,房地(土地+建物),新竹市新竹市東大路三段340巷1~30號,174.16,住,,,1070918,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0930820,306.33,5,3,5,有,無,13116156,42817,,0.0,0,"本案增值稅買方支付,雙方約定為買賣價金之一部分",RPUNMLNKIINFFAO88CA
新竹市,房地(土地+建物),新竹市新竹市延平路一段317巷5弄31~60號,70.06,,鄉村區,乙種建築用地,1070910,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061117,242.87,4,1,6,有,無,17200000,70820,,0.0,0,1樓停車，新成屋尚未成立管委會。,RPQOMLNKIINFFAO58CA
新竹市,土地,仁愛段721~750地號,4183.0,工,,,1070921,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,236780000,56605,,0.0,0,,RPPOMLRKIINFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路331~360號,22.11,住,,,1050312,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,155.12,3,2,2,有,有,6550000,42225,坡道平面,28.26,0,,RPQNMLMLIINFFAO48CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路331~360號,22.11,住,,,1050316,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,155.12,3,2,2,有,有,6500000,41903,坡道平面,28.26,0,,RPRNMLMLIINFFAO58CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路331~360號,22.11,住,,,1051007,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,154.14,3,2,2,有,有,7220000,46841,坡道平面,28.26,0,,RPWNMLMLIINFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路331~360號,22.11,住,,,1050806,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,155.25,3,2,2,有,有,7200000,46377,坡道平面,28.26,0,,RPTOMLMLIINFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路361~390號,16.98,住,,,1050702,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,121.84,2,2,1,有,有,4920000,40381,坡道平面,28.26,0,,RPVOMLMLIINFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路361~390號,22.43,住,,,1050328,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,154.43,3,2,2,有,有,6180000,40018,坡道平面,28.26,0,,RPWOMLMLIINFFAO56CA
新竹市,房地(土地+建物),新竹市新竹市西大路599巷2弄1~30號,82.0,住,,,1070623,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620711,96.76,4,2,3,有,無,9380000,96941,,0.0,0,,RPVPMLKMIINFFAO09CA
新竹市,房地(土地+建物),新竹市新竹市澤藩路31~60號,146.01,,山坡地保育區,丙種建築用地,1070901,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0881123,274.08,4,2,3,有,無,15000000,54729,,0.0,0,,RPXOMLPLIINFFAO96CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路361~390號,22.11,住,,,1050310,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,154.43,3,2,2,有,有,6190000,40083,坡道平面,28.26,0,,RPQPMLMLIINFFAO68CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路361~390號,22.43,住,,,1050320,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,154.43,3,2,2,有,有,6350000,41119,坡道平面,28.26,0,,RPSPMLMLIINFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路361~390號,22.43,住,,,1050403,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,154.43,3,2,2,有,有,6450000,41766,坡道平面,28.26,0,,RPWPMLMLIINFFAO66CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路361~390號,22.43,住,,,1060923,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,154.43,3,2,2,有,有,6800000,44033,坡道平面,28.26,0,,RPXPMLMLIINFFAO76CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路361~390號,22.43,住,,,1050313,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,155.14,3,2,2,有,有,5500000,35452,坡道平面,28.26,0,,RPOQMLMLIINFFAO58CA
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱南路361~390號,22.43,住,,,1050720,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070523,157.37,3,2,2,有,有,6900000,43846,坡道平面,30.49,0,,RPQQMLMLIINFFAO78CA
