鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
苓雅區,房地(土地+建物),高雄市苓雅區仁德街61~90號,28.55,商,,,1070815,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0731027,135.69,3,2,2,有,無,4000000,29479,,0.0,0,,RPXNMLTLIINFFBE98CA
小港區,土地,莊段601~630地號,37.0,住,,,1070925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,380000,10270,,0.0,0,,RPUNMLSJIINFFCE48CA
前鎮區,房地(土地+建物),高雄市前鎮區中山二路1~30號,7.06,商,,,1070724,土地1建物1車位0,十一層,二十八層,辦公商業大樓,商業用,鋼筋混凝土造,0870714,183.38,0,0,0,無,有,8320500,45373,,0.0,0,有增建,RPWNMLMKIINFFCE18CA
小港區,房地(土地+建物),高雄市小港區三苓里忠德街1~30號,21.53,住,,,1070829,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690719,55.2,2,1,1,有,無,800000,14493,,0.0,0,,RPPNMLNKIINFFCE57CA
三民區,房地(土地+建物),高雄市三民區光武路61~90號,22.43,住,,,1070808,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0741204,90.42,3,2,2,有,無,3000000,33179,,0.0,0,,RPTOMLLJIINFFDE87CA
三民區,房地(土地+建物),高雄市三民區鼎中路532巷31~60號,10.18,住,,,1070911,土地1建物1車位0,三層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940113,32.269999999999996,1,1,1,有,有,1300000,40285,,0.0,0,,RPXOMLLJIINFFDE28CA
三民區,房地(土地+建物),高雄市三民區九如一路170巷30弄1~30號,26.64,住,,,1070907,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690523,71.47,3,2,1,有,無,2700000,37778,,0.0,0,,RPPNMLMJIINFFDE47CA
三民區,土地,中華段二小段1411~1440地號,163.0,商,,,1070716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14793000,90755,,0.0,0,,RPUOMLMJIINFFDE08CA
三民區,房地(土地+建物)+車位,高雄市三民區聯興路50巷1~30號,22.7,住,,,1070912,土地1建物1車位2,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940713,225.13,4,2,2,有,有,12080000,54089,坡道平面,53.56,2800000,,RPPNMLPJIINFFDE77CA
三民區,房地(土地+建物)+車位,高雄市三民區鼎華路1~30號,17.35,商,,,1070818,土地1建物1車位1,七層,十六層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0801219,192.96,4,2,2,有,有,6280000,32546,坡道平面,0.0,0,,RPPPMLSJIINFFDE28CA
