鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
北斗鎮,房地(土地+建物),彰化縣北斗鎮七星里陶朱路1~30號,88.31,,鄉村區,乙種建築用地,1070831,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0720711,116.5,4,1,1,有,無,2000000,17167,,0.0,0,,RPSNMLNLIINFFFN66DA
花壇鄉,土地,新內庄段91~120地號,1175.37,,山坡地保育區,農牧用地,1070920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1702,,0.0,0,,RPTNMLSJIINFFAN56DA
大城鄉,土地,城潭段571~600地號,3116.0,,一般農業區,農牧用地,1070901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4113120,1320,,0.0,0,包括地上物抽水機全部設備在內,RPSNMLPJIINFFGN66CA
大城鄉,土地,美豐段451~480地號,3361.0,,一般農業區,農牧用地,1070920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3361000,1000,,0.0,0,,RPTNMLPJIINFFGN76CA
溪州鄉,土地,育善段571~600地號,1137.82,住,,,1070903,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8828400,7759,,0.0,0,,RPTNMLRKIINFFFN96CA
埤頭鄉,土地,嘉和段931~960地號,585.0,,特定農業區,農牧用地,1070918,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3350000,5726,,0.0,0,,RPRNMLTLIINFFFN07CA
埔鹽鄉,土地,東榮段871~900地號,3976.0,,特定農業區,農牧用地,1070829,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7952000,2000,,0.0,0,,RPRNMLPJIINFFHN66CA
溪湖鎮,土地,大庭段1081~1110地號,385.02,農,,,1070919,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,5195,,0.0,0,,RPTNMLPJIINFFHN86CA
溪湖鎮,土地,大庭段1111~1140地號,385.02,農,,,1070919,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,5195,,0.0,0,,RPUNMLPJIINFFHN96CA
溪湖鎮,土地,大庭段1081~1110地號,765.98,農,,,1070919,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,5222,,0.0,0,,RPVNMLPJIINFFHN07CA
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉如意街91~120號,103.44,住,,,1070831,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050912,208.32,4,2,3,有,無,8800000,42243,,0.0,0,,RPSNMLMKIINFFFN98CA
芳苑鄉,土地,裕津段601~630地號,83.0,,工業區,丁種建築用地,1070905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,702800,8467,,0.0,0,,RPROMLOJIINFFGN56CA
溪州鄉,房地(土地+建物),彰化縣溪州鄉光路68巷1~30號,131.65,住,,,1070915,土地7建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土造,1040701,155.36,4,3,3,有,無,6400000,41195,,0.0,0,,RPRNMLPJIINFFFN09CA
社頭鄉,土地,東興段421~450地號,27.35,住,,,1070917,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,413500,15119,,0.0,0,,RPRNMLOLIINFFEN09CA
社頭鄉,土地,新山清段451~480地號,1425.27,,特定農業區,農牧用地,1070804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,2245,,0.0,0,,RPUNMLQLIINFFEN96CA
社頭鄉,房地(土地+建物),彰化縣社頭鄉員集路二段612巷61~90號,240.47,工,,,1070804,土地1建物1車位0,一層，二層,二層,工廠,見其他登記事項,鋼筋混凝土造,0800103,312.94,7,1,6,有,無,16500000,,,0.0,0,建物：員工單身宿舍，作業廠房(工業區),RPPNMLKMIINFFEN58CA
員林市,土地,東北段61~90地號,235.16,,特定農業區,農牧用地,1070914,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1763291,7498,,0.0,0,,RPQNMLPKJINFFDN98CA
