鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新店區,房地(土地+建物)+車位,新北市新店區民權路42巷59弄1~30號,0.0,工,,,1070928,土地0建物1車位1,二層,5,廠辦,工商用,鋼筋混凝土造,0770831,318.62,0,0,0,無,有,無,52000,163,坡道平面,0.0,0,,RPWOMLTJIINFFCF56CC
汐止區,建物,新北市汐止區大同路二段151~180號,0.0,工,,,1071001,土地0建物1車位0,四層,5,廠辦,見其他登記事項,鋼筋混凝土造,0980323,115.55,0,0,0,無,無,無,35000,303,,0.0,0,,RPSNMLTJIINFFDF78CC
汐止區,房地(土地+建物),新北市汐止區建成路57巷61~90號,7.96,住,,,1071009,土地1建物1車位0,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871113,78.46,4,1,2,有,有,有,25000,319,,0.0,0,,RPROMLTJIINFFDF78CC
板橋區,建物,新北市板橋區松江街72巷1~30號,0.0,住,,,1070919,土地0建物1車位0,一層,4,店面(店鋪),住家用,加強磚造,,80.4,0,0,0,無,無,無,28948,360,,0.0,0,,RPQNMLTJIINFFAF28CC
土城區,房地(土地+建物)+車位,新北市土城區中央路一段91~120號,134.63,住,,,1070921,土地1建物2車位3,二層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0850613,1019.02,0,0,0,無,有,無,120000,118,坡道平面,139.14,0,,RPPOMLTJIINFFAF28CC
板橋區,建物,新北市板橋區四川路二段65巷1~30號,0.0,住,,,1070921,土地0建物1車位0,一層,2,店面(店鋪),住家用,加強磚造,,63.45,0,1,1,有,無,無,22000,347,,0.0,0,,RPPTMLTJIINFFAF78CC
中和區,建物,新北市中和區宜安路31~60號,0.0,住,,,1070915,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060808,143.94,3,2,2,有,有,無,35000,243,,0.0,0,,RPSNMLTJIINFFHF56CC
中和區,建物,新北市中和區宜安路23巷1~30號,0.0,住,,,1070921,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0601231,98.7,3,2,2,有,無,有,30000,304,,0.0,0,,RPUNMLTJIINFFHF76CC
永和區,建物,新北市永和區博愛街1~30號,0.0,商,,,1070914,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060123,82.55,2,1,1,有,有,無,27000,327,,0.0,0,,RPWNMLTJIINFFHF96CC
永和區,建物,新北市永和區永和路二段271~300號,0.0,住,,,1070925,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060123,97.6,2,2,1,有,有,有,31000,318,,0.0,0,,RPSQMLTJIINFFHF86CC
中和區,建物,新北市中和區宜安路168巷1~30號,0.0,商,,,1070912,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1031006,138.78,3,2,2,有,有,有,37000,267,,0.0,0,,RPORMLTJIINFFHF56CC
三重區,建物,新北市三重區重陽路一段44巷31~60號,0.0,住,,,1070917,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831205,90.75,3,2,2,有,無,有,23000,253,,0.0,0,,RPPNMLTJIINFFGF78CC
三重區,建物,新北市三重區重新路五段631~660號,0.0,工,,,1070917,土地0建物1車位0,九層,10,廠辦,工業用,鋼筋混凝土造,0790727,287.12,0,0,0,無,有,無,38000,132,,0.0,0,,RPQNMLTJIINFFGF88CC
汐止區,房地(土地+建物),新北市汐止區康寧街470巷三樓B1~30號,33.05,住,,,1071001,土地2建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0610102,30.05,1,0,0,有,無,有,10000,333,,0.0,0,,RPQNMLKKIINFFDF77CC
新店區,建物,新北市新店區寶中路91~120號,0.0,工,,,1070911,土地0建物1車位0,二層,10,廠辦,工業用,鋼筋混凝土造,0811119,57.849999999999994,0,0,0,無,有,無,20000,346,,0.0,0,分租約17.5坪,RPPNMLKKIINFFCF57CC
